박지현 나왔어!!! 위성우가 또 신인들 내보냈네...ㅋㅋㅋㅋㅋㅋ,중립
위성우 감독의 우리은행을 상대로 3연승이라니...운이었든 실력이었든 이전에는 없던 일을 해낸 것이니...,중립
현재 6~7년 연속 우승중인 우리은행...위성우감독 죽어나간닼ㅋㅋㅋㅋㅋㅋㅋ,중립
"우리은행 위성우 감독 ""박지현 포지션, 아직 결정 못해""",중립
"'연패 탈출' 위성우 감독, ""박지현, 아직도 고교 농구 한다""",중립
믿기어렵겠지만.....지옥훈련으로 유명한  아산 우리 은행의 위성우 감독은 선수들들에게 우승을 하면 자신을 맘대로 때려도 좋다는 공약을 했다가 집단 폭행을 계속 당하고 있습니다.,중립
토토군 검증 뉴스 우리은행 위성우 감독의 엄살 아닌 엄살 :,중립
우리은행 위성우 감독 전주원 코치는 전생에 나라를 구했던 것인가...21분의 1의 확률의 게임에서 위너가 되다니...,기쁨
"신기성은 여농가서 영혼까지 털리네
여농감독은 아무나 하는게 아니다
신한은행은 전통의 명문팀이다
우리은행 왕조이전 임달식이 지휘하던 신한은행은 여농왕조시대를 최초로 열엇던 팀이엇고
위성우 전주원 우리은행 코청스텝도
신한은행 출신일만큼 명문팀인데
신기성 맡고부터 똥망으로전락",중립
박지현은 오케이경기 보면서 저기갔어야했다고 뼈저리게 느낄듯. 신인에게 트레이닝도 중요하지만 진짜는 경험임. 위성우가 왜 싫냐면(개인적인생각임) 홍보람최은실박다정 이런애들 수비 장착시켜서 딱딱 필요할때 ...,화남
"위성우 감독이 바라본 박지현은? ""어떤 부분에서는 박혜진보다 낫다""",중립
위성우 10점차로 이기고있는데 와저래 화를내노....ㅠㅠㅠㅠ,중립
"위성우 피토한다..
'영희야!!!!'
'정은이'
'또치야!'",버림
"피해자 선수의 언니도 같은 팀에 소속되어 있었는데, 언니가 이 사실을 폭로하여 세상에 알려졌다. 감독이 사퇴했고, 신한생명의 위성우 코치가 신임감독으로 부임하며 우리은행은 만년 꼴찌팀에서 환골탈태한다. 폭력 피해를 당했던 선수는 에이스로 거듭나 리그 최정상 선수가 되었다.",중립
"YouTube에서 '[웅터뷰] 우리은행 박지현 - 4.8%의 기적, 위성우 여자농구 슈퍼루키를 잡다!' 보기 -",중립
"190127 앤디 사인회 Q&A
질문지 보자마자 혜성 핑크->
민우 ‘불’루 썼다가 그린으로 수정
->에릭 블랙 쓰고는,
A: 난 회색이지~!
라며 회색->동완 노란->전진 레드!
다른 오빠들 색 적을 때 생각 많이 하시던데, 왜 오빠는 당연하다는 듯 회색입니까ㅋㅋㅋ",중립
"2019 ERIC's Moonday WELCOME

일시 2019년 2월 16일 (토) PM5:00
장소 광림아트센터 BBCH홀
티켓오픈 2019년 1월 25일(금) PM9:00
예매링크",버림
190123 가온,버림
"[직캠 | Fancam] 190127 더보이즈 팬콘 에릭 엔딩 멘트 / THE BOYZ FAN-CON ERIC MENT 

눈물 뚝..........",버림
[직캠 | Fancam] 190127 더보이즈 팬콘 에릭 엔딩 멘트 / THE BOYZ FAN-CON ERIC MENT,버림
높다면서 잘부르는 오빵,버림
"[에릭] THE CASTLE 1st day! 
성공적으로 끝! 오늘 너무 재밌었고 감사해요 더비!  우리 내일 봐요~  못 오신 분들은 꿈에서 봐요!  잊지 않고 항상 생각 하고 있어요~ ^^",버림
"[에릭] THE CASTLE 2nd day Complete!!!  그냥.... 너무 재밌었고 잊지 못할 이틀이었고 감사합니다. 사랑해요 더비  오늘도 굿밤~

Successfully finished with our first ever fan-con! Thank you guys so much and love you guys to moon and back!",버림
"MOONday
아이폰 x / xs / xs max 배경화면

오빠 느므 예뻐서 센터에 두고 싶어
달 위치 옮김
에릭의 잘생김 보고가셔요",기쁨
