종인이 가오슝 가는 날에도 무지 신난 참새였지,기쁨,,
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 가오슝 가시는 분 비행기 안탔는지 방송 계속 나오는데 이름도 외웟댜,,,겁나 티엠아이",기쁨,,
"민석아 세계곳곳 다니면서 먹방 크리에이터 가자!!!!
ㅋㅋㅋㅋㅋ가오슝 배낭여행자 
조용히 먹고갈게용~~",기쁨,,
"저랑 같이 행복하고 재밌는 엑소 덕질 해요!!!
98성인 에리입니당 친해지기 무지 쉬워영 
공출목n지지 9명 모두 다 너무너무 사랑해여 친해져서 만나서 덕질투어도 가고 파티도 해여 우리 멘션 디엠 다 너무 좋아합니당
앑무 맘유. 같이 덕질 덕메 가오슝~",기쁨,,
나도 가오슝갔을때 처음 먹었던 메뉴가 삼우우육면 이였는데ㅠㅠㅠ 시우민이 다녀간곳에서 먹었다니 행복하네ㅠㅠㅠ면은 우동크기가 맛있고 약간 느끼하다 싶으면 셀프바에 소스있는데 마늘이랑 소스랑 해먹으면 더 안느끼하고 더 맛있다ㅠㅠ,기쁨,,
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
뱩현이가 가오슝으로 출발합니다 슝슝슝~>< 하니까 경스 넘 웃긴가밬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 목 잡고 팔뚝 잡고 웃어 뱩현이 반응 보니까 그냥 잡은 게 아니라 저 상태로 잡고 주물렄ㅋㅋㅋㅋㅋㅋㅋ",기쁨,,
망고컬쳐는 쭤잉 지역에 있으며 렌츠탄 공자묘 옆에 있습니다. 고풍스러운 분위기에서 서양 음료를 마시는 묘미를 즐길 수 있습니다.,중립,,
별자리운세 짱... 왜냐면 오늘 가오슝 여행 일정 짤거고 아침에 아빠한테 만원 받았거든,기쁨,,
"앗SK브로드밴드의 에서 매일 저녁 6시에 방영하는  시즌2에서 엑소 멤버들이 가오슝으로 떠나면서 하나씩 챙겨 먹은 게 정관장 굿베이스의  이구나! 
이렇게 하면 파워블로거 될 수 있을거라 생각햇어",중립,,
"열이 가오슝으로  가오슈~~~~~~웅  드립에 도경수 왜그랰ㅋㅋㅋ  
여리 그거보구 경수 오늘 기분좋아 보인뎈ㅋㅋㅋㅋ 오랜만에 멤버들이랑 여행가서 설렌 도경수",기쁨,,
"첸: 와 새우낚시도 있어!
세: 모?? 세훈낚시?????
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 그런게 가오슝 잇엇으면 나 여권색 뚝딱 바꿧지ㅠㅋㅋㅋㅋㅋㅋㅋㅋ",기쁨,,
'엑소의 사다리 타고 세계여행' 가오슝·컨딩 여행 오늘(21일) 첫방 (출처 : 스포츠조선 | 네이버 TV연예),중립,,
멤바들 마니 보여주세요 .. 우육탕면은 제가 알아서 찾아 볼게요... 가오슝도 제가 알아서 공부하겠습니다 세계지리 자신있어요,중립,,
가오슝 공항에 무슨 영화 부스 있는데 이건 현대 공군이네 ㅋㅋㅋㅋ 근데도 뭔가 일파청 느낌이 확 다가오고... 주인공은 아니지만 자오쥔(종승한) 나옴. 저 망할 조종사놈들...,중립,,
다망한 설득 끝에 대만 여행으로 체인지....! 타이난-가오슝 명소 추천받습니다. 타이베이 이외는 잘 몰라서...,중립,,
백현이 여기 원샷 훅 들어와서 심장 아팠어 이제 출발해여 가오슝으로 슝 'ㅅ' 하는데 세상 잘생김 다 가진 말랑미남,기쁨,,
펑리수 딱 하나만 먹고싶은데 비싸서 고민하는척하고 시식함ㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠ죄송해요 하지만 맛있군 가오슝에만 파는게 젤 맛있다더라,기쁨,,
"""우리 일단은 가오슝으로 빨리 출발하시죠. 자, 가오슝으로 출발할게요! 가오슝으로 슝슝 슈웅~""
진행왕 백현이 오늘도 한 건 했어 가오슝으로 슝슝 슈웅 ~  하고 한 쪽 눈만 감는 거 귀엽게 윙크야 뭐야 !",기쁨,,
'엑소의 사다리 타고 세계여행' 오늘(21)일 첫 방송...예측불허 가오슝&컨딩 여행기 (겟잇케이),중립,,
"190123 엑사세2 3화 
죤댕이~~가오슝에 도착을 했습니다앙~~~
신나부러~~ o(^w^)o ~~ ♪♬",기쁨,,
가오슝이 제가 >> 혼자 처음<<간 여행이엿는데 가서 유심빌릴라구 햇는데 실패해서 개 멘붕이엿서요......아는거 1두 업는데.....유심없으면.....난....어쩌지.....하면서 멘붕와서 공항에 앉아잇엇는데 공항에소 포켓 와이파이 빌렷구....바로 택시타구 숙소감 ㅋㅎㅋㅋ참고로...중국어 1도 못해여...,슬픔,,
드림캐로 민우 선배캐는 업나여.... 연상연하도 보고싶은데ㅔ..,중립,,
영업합니다 양민우하세요 박성웅하세요,중립,,
"호중인환 다희마담 민우선호의
'우리는 어디에' - 2",중립,,
정검한테 몇번이나 부탁해서 겨우 밥 약속 만들고 정검 들들 볶다시피해서 태주가 좋아하는 음식 분위기 이런거 다 파악해서 완벽한 첫만남 첫데이트 했다고 생각했는데 다음날 점심쯤 아무래도 동종업계분은 만나기가 좀 그렇다며 죄송하단 태주 문자에 반차내고 집에 갔을 양민우....,중립,,
"민우... 1980~90년대에 종로 게이 바에 제일 흔하게 쓰인 가명. 걔도 민우, 쟤도 민우.",중립,,
"민우야 왜 혼자 제주도 갔어..
나 똑똑히 기억해..
내가 수업시간에 몰래 오메기떡 먹으니가
너가 이럴거면 제주도를 가라고 중얼거린거...
같이 가자는 뜻이엇자너...",중립,,
"20190119 선펄 아라카와
오빠,동생들은 5 명으로 열심히 하고 있습니다
동생들 넘귀여워",기쁨,,
능글캐 졸라 좋아하는데 이번 전학생 딱 제 취향이라 이겁니다ㅏ 눈꼬리 휘어진거부터 완전 저를 위한 캐.. 제발 민우 도와주는 캐이길 바랄뿐..,중립,,
뭐? 야 송민우! 너 혹시 남의 팀에서 스파이노릇하고 있었던 거야? 그런 거야?,중립,,
"민우야 기억해 복도에서 떠들다 함께 혼나던 우리 둘 네가 너무 처연하게 울어서 나만 죽일놈됏잔아,,",중립,,
민우오빠 ~ ♡♡♡,기쁨,,
아 증말루 바람민우 사랑해,기쁨,,
이것도 친구라고 우락민우 / 옷 새로 샀는데 의도치않게 커플룩된 그런상황,중립,,
아히힣,기쁨,,
"신화의 에릭&민우가 인정한 15살 원석소년들, 송민재X노휘준의 팬이 되어 주세요!",중립,,
"퇴근
피곤할땐 동방이죵
시무상~오늘 왜케 민우야?
늠늠 이쁘고 청순하시네요",기쁨,,
"190111 인스타그램
2019년도 힘내장..",중립,,
"민우 재롱잔치 하면 밍그 밤새 감자손으로 사탕부케랑 피켓 만들어 간다ㅎ 무대 내내 《어차피 센터는 민우왕자꺼!》관종피켓 들고 소리 지르는 밍그 아빠와 그 옆에서 조용히 ax700으로 4k캠따고 있는 어누 아빠
 와아아악 민우야아아아!!!
 김밍그 입 좀 다물어... 
아빠들 온도차이",중립,,
